Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:33<00:00,  8.38s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,539,700,480
TRAINABLE PARAMS: 190,164,736 (3.4328%)
------------------------------
 > LLM LoRA Params (Trainable):      6,815,744
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 43,008,000
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 43,008,000
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,851,527,680
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                                        

{'loss': 0.7654, 'grad_norm': 3.686594247817993, 'learning_rate': 9.991489522656782e-05, 'loss/total_loss': 0.20878894329071046, 'loss/lm_loss': 0.20878894329071046, 'epoch': 0.14}
{'loss': 0.7525, 'grad_norm': 4.2861480712890625, 'learning_rate': 9.991111279219307e-05, 'loss/total_loss': 0.16541574001312256, 'loss/lm_loss': 0.16541574001312256, 'epoch': 0.15}
{'loss': 0.7574, 'grad_norm': 3.3417224884033203, 'learning_rate': 9.99073303578183e-05, 'loss/total_loss': 0.18375377655029296, 'loss/lm_loss': 0.18375377655029296, 'epoch': 0.15}
{'loss': 0.7095, 'grad_norm': 4.83317232131958, 'learning_rate': 9.990354792344352e-05, 'loss/total_loss': 0.16806586980819702, 'loss/lm_loss': 0.16806586980819702, 'epoch': 0.15}
{'loss': 0.6667, 'grad_norm': 3.379592180252075, 'learning_rate': 9.989976548906877e-05, 'loss/total_loss': 0.1727403521537781, 'loss/lm_loss': 0.1727403521537781, 'epoch': 0.15}
{'loss': 0.7066, 'grad_norm': 2.7241954803466797, 'learning_rate': 9.989598305469401e-05, 'loss/total_loss': 0.16420615911483766, 'loss/lm_loss': 0.16420615911483766, 'epoch': 0.15}
{'loss': 0.6745, 'grad_norm': 3.356755495071411, 'learning_rate': 9.989220062031924e-05, 'loss/total_loss': 0.17819586992263795, 'loss/lm_loss': 0.17819586992263795, 'epoch': 0.16}
{'loss': 0.6672, 'grad_norm': 3.238611936569214, 'learning_rate': 9.988841818594448e-05, 'loss/total_loss': 0.15306031703948975, 'loss/lm_loss': 0.15306031703948975, 'epoch': 0.16}
{'loss': 0.726, 'grad_norm': 6.8023176193237305, 'learning_rate': 9.988463575156971e-05, 'loss/total_loss': 0.21450066566467285, 'loss/lm_loss': 0.21450066566467285, 'epoch': 0.16}
{'loss': 0.7235, 'grad_norm': 2.9789810180664062, 'learning_rate': 9.988085331719495e-05, 'loss/total_loss': 0.15370075702667235, 'loss/lm_loss': 0.15370075702667235, 'epoch': 0.16}
